Date,Title,img_path,Caption,Colours,Style,Subject,Keywords,Category,img_alt,Width,Height
2025-01-26,No food places open today so some of the #officestilllife may need to be sacrificed. #scribbles,bafkreiej2fcddcozpjn76gq6c4vjkoi77yekzulaacpngbkilpntffk4ri.jpg,,"(['Black', 'White', 'Various shades of grey'],)","(['Observational sketch', 'Still life drawing', 'Realistic drawing', 'Traditional sketching'],)","('Two fruit bowls containing different fruits - one with bananas and another with round fruits (apple and citrus), demonstrating a classic still life composition',)","['still life', 'fruit bowl', 'bananas', 'apples', 'citrus', 'pencil sketch', 'cross-hatching', 'shading', 'observational drawing', 'kitchen art', 'food illustration', 'monochrome', 'domestic scene']",Bsky,A pen sketch of two fruit bowls next to each other ,340.0,255.0
2025-01-26,She made a dress. #scribbles,bafkreielepiii3lhuzunv6bhhrgc3kstq2ta7azgks7bywkf3w27gu7ine.jpg,,"(['Black', 'Grey (through line density)', 'White (paper)', 'Warm beige/cream (paper tone)'],)","(['Quick sketch', 'Observational drawing', 'Gestural', 'Linear', 'Urban sketching'],)","('An interior scene showing a person working at what appears to be a sewing machine, captured from behind in a casual, documentary style. The composition includes the working environment with furniture and floor details.',)","['sketch', 'sewing', 'interior', 'workspace', 'domestic scene', 'craftwork', 'drawing', 'pen and ink', 'observation', 'daily life', 'working', 'furniture', 'studio', 'creative space']",Bsky,A pen and ink drawing of a woman. It is drawn from behind and shows her sitting at a table and sewing ,340.0,255.0
2025-01-23,Two for the price of one #officestilllife #scribble,bafkreieyj3wi5k5lzrjdo6wjq52crjdklhvjwypffpblyvon5teuawl37e.jpg,,"(['Black', 'White', 'Greyscale tones'],)","(['Sketch art', 'Observational drawing', 'Still life', 'Cross-hatching technique', 'Gestural drawing'],)","('Two separate still life studies of fruit arrangements - a bunch of bananas and a collection of round fruits (likely apples), each placed in shallow dishes or plates',)","['still life', 'fruit sketch', 'bananas', 'apples', 'pen drawing', 'hatching', 'black and white', 'observational art', 'kitchen art', 'food illustration', 'fruit bowl', 'study drawing']",Bsky,,340.0,255.0
2025-01-22,Ran out of time again :( #officestilllife #scribble,bafkreifsetrlsr2lamr4joyktj5dffdpkje6hqfp7duxa2gbn3z4xrckey.jpg,"('A black and white sketch of an orange or citrus fruit cut in half, showing the segmented interior and peel. Two small, minimalist figures appear to be climbing or standing on top of the fruit, adding a whimsical or surreal element to the otherwise realistic fruit study.',)","(['Black', 'White', 'Grey (through shading)', 'Paper off-white'],)","('Sketchy illustration combining realistic still life with surreal elements; loose, expressive line work with cross-hatching and tonal shading',)","('A halved citrus fruit (likely an orange) with miniature figures, combining still life with imaginative elements to create a sense of scale play and whimsy',)","['citrus', 'orange', 'fruit', 'sketch', 'ink drawing', 'cross-hatching', 'surreal', 'miniature figures', 'still life', 'black and white', 'food illustration', 'perspective', 'whimsical', 'botanical', 'scale play']",Bsky,,340.0,255.0
2025-01-21,Apparently the fruit bowl was refilled while I was off sick. #officestilllife #scribble,bafkreigkrz3hy7tg2q2sqpw5mvcycerdgzyqndn4niv35ixjr72akhwk6u.jpg,,"(['Black', 'White', 'Various shades of grey'],)","(""Quick sketch/observational drawing with elements of cross-hatching technique. It's a casual, informal still life drawing with an emphasis on capturing form through line work."",)","('A bunch of bananas arranged on a circular plate, depicted from a slightly elevated angle showing the natural curves and grouping of the fruit',)","['bananas', 'still life', 'sketch', 'fruit', 'crosshatching', 'pencil drawing', 'monochrome', 'plate', 'food illustration', 'kitchen art', 'observational drawing', 'produce sketch']",Bsky,,340.0,255.0
2025-01-19,A lot of sport this weekend. Kinda getting sick of plastic seats. #scribble,bafkreihv22yuyc3hvtid4mhrsqzxuluptakbibhysyhccyjahcc2eroane.jpg,"('A quick sketch drawn at a sports stadium showing spectators sitting in rows, with the sports field and stadium architecture visible in the background. The sketch is held up against the actual scene it depicts, creating an interesting juxtaposition between the artwork and reality.',)","(['Black', 'Off-white/cream (paper)', 'Background shows green (field)', 'Stadium greys and whites'],)","(['Gestural sketch', 'Urban sketching', 'Quick observational drawing', 'Loose line work', 'Minimalist'],)","(""Stadium crowd scene captured in quick, gestural strokes showing people seated in rows at what appears to be a cricket or sports match, with the venue's architecture providing context"",)","['Urban sketching', 'Stadium art', 'Live drawing', 'Sports venue', 'Crowd scene', 'Gestural drawing', 'Quick sketch', 'Observational art', 'Black and white drawing', 'Melbourne', 'Sports illustration', 'Stadium crowd']",Bsky,,340.0,255.0
2025-01-18,Learning to sew. #scribble,bafkreifp6vs6vhbyhgehxt4sl6lkphcgaapqkbfchk64mhtavwvmpfh2cu.jpg,"('A quick sketch showing someone seated at what appears to be a desk or table, viewed from behind. The figure is rendered in loose, expressive strokes with some objects on the surface in front of them. The drawing captures a casual, candid moment.',)","(['Black', 'Grey (through marker intensity variation)', 'White (paper)'],)","(['Gestural sketch', 'Quick observational drawing', 'Loose line work', 'Contemporary sketch', 'Urban sketching'],)","('A figure viewed from behind while seated at what appears to be a desk or table, captured in a casual everyday moment. The composition emphasizes the back view and posture of the subject.',)","['sketch', 'figure drawing', 'monochrome', 'gestural', 'observational', 'interior scene', 'casual moment', 'desk', 'seated figure', 'back view', 'quick drawing', 'urban sketch']",Bsky,,340.0,453.0
2025-01-18,At the tennis #scribble,bafkreifeodtx7x4rdggzyuuqknmbsenqugdvugz57laiq2yv3xuoxttbym.jpg,"('A quick sketch of a tennis player drawn on paper, held up against the backdrop of a professional tennis court arena. The background shows a blue tennis court surface and stadium lighting, suggesting this was drawn live during a tennis match.',)","(['Black (sketch)', 'White (paper)', 'Blue (tennis court)', 'Yellow/Orange (stadium lights)', 'Greyscale (sketch shading)'],)","(['Quick sketch', 'Gestural drawing', 'Live illustration', 'Line drawing', 'Minimalist'],)","('A tennis player in ready position, drawn in profile view, holding a tennis racquet. The figure is rendered with simple lines showing the basic form and posture typical of a tennis player preparing to receive or play a shot.',)","['tennis', 'sketch', 'live drawing', 'sports illustration', 'stadium art', 'Australian Open', 'tennis court', 'athletic figure', 'sports venue', 'action pose', 'gestural sketch', 'field drawing']",Bsky,,340.0,453.0
2025-01-15,Just three bananas left today #officestilllife #scribble,bafkreiawirpmqbgahp6ws3zp3zmadhfuchzyj2iejkxeyy7y2jnmyrrkdq.jpg,"('A simple sketch of a glass or crystal bowl rendered in black lines, showing depth and perspective through curved lines and shading. The bowl appears to be round with ridged or cut glass patterns around its circumference.',)","(['Black', 'White', 'Grey tones', 'Off-white paper background'],)","('Quick sketch/Study drawing',)","('A decorative glass or crystal bowl, likely empty, shown from a slight elevated angle to demonstrate its circular form and cut glass pattern',)","['bowl', 'sketch', 'glassware', 'crystal', 'still life', 'home decor', 'kitchenware', 'black and white', 'line drawing', 'curved lines', 'perspective drawing', 'tableware']",Bsky,,340.0,255.0
2025-01-14,Another quick #officestilllife #scribble. Doesn't smell as much like banana bread today,bafkreie4agxnzoys3cwrfbgwnhefes2oe4fw3j6y6r3ppatkmnwfvx7mii.jpg,"('A hand-drawn sketch of bananas in a bowl, rendered with bold strokes and cross-hatching techniques. The drawing shows several bananas clustered together in what appears to be a round dish or bowl, with careful attention paid to the curved forms and natural positioning of the fruit.',)","(['Black', 'White', 'Grey (through shading)'],)","('Quick sketch/Still life drawing with an expressive, loose line art style utilizing hatching and cross-hatching techniques',)","('A bunch of bananas arranged in a simple bowl or dish, creating a classic still life composition',)","['bananas', 'fruit', 'still life', 'sketch', 'ink drawing', 'black and white', 'cross-hatching', 'bowl', 'kitchen art', 'produce', 'line art', 'food illustration', 'quick sketch', 'monochrome']",Bsky,,340.0,255.0
2025-01-14,This Hijikata/Krueger match has been pretty entertaining #scribble,bafkreifzv2lszrui2n4u7276dwojmd4ntagvlpmk35qml3h5f2pbp34mje.jpg,"('A pencil sketch on white paper showing a tennis player in casual athletic wear, wearing a baseball cap and holding a tennis racket. The drawing is done in a simple line art style with basic shading and cross-hatching techniques.',)","(['Greyscale', 'White paper', 'Grey pencil lines'],)","(['Quick sketch', 'Line drawing', 'Contemporary illustration', 'Freehand drawing', 'Gesture drawing'],)","(['An athletic figure in sporting attire', 'Tennis player pose', 'Sports illustration', 'Action portrait'],)","['tennis', 'sports sketch', 'athlete', 'baseball cap', 'racket', 'pencil art', 'line drawing', 'sports illustration', 'athletic wear', 'gesture sketch', 'casual portrait', 'contemporary drawing']",Bsky,,340.0,453.0
2025-01-13,Too many bananas in the office fruit bowl #scribble,bafkreiavkzuadkjsizjnqzonvtrukoumpicikhobq35ccy2r46rurkmury.jpg,"('A simple line drawing of a bunch of bananas in a bowl, rendered with fluid, confident strokes. The drawing captures the curved form of the bananas and their characteristic bunch structure, with some basic shading and line work to suggest depth and form.',)","(['Black', 'White/cream paper', 'Grey tones from line work'],)","(['Sketch', 'Line drawing', 'Minimalist', 'Gestural drawing', 'Quick study'],)","('A bunch of bananas sitting in what appears to be a simple bowl or container, viewed from a slight side angle showing the curved arrangement of the fruit',)","['bananas', 'fruit', 'bowl', 'sketch', 'line art', 'still life', 'black and white', 'minimalist', 'food illustration', 'kitchen art', 'produce drawing']",Bsky,,340.0,255.0
2025-01-11,Pieces keep moving as fast as i can #scribble,bafkreidcm6czys6c2te4ij3beqgzl2uxpvrgzxvsalr2t63syhdxeoocoa.jpg,"('A sketch of a chess rook piece drawn in a sketchbook, with a real life-sized chess game visible in the background on what appears to be an outdoor chess board. The drawing shows attention to detail in shading and perspective, while the background shows black and white chess pieces arranged on a grey stone chess board.',)","(['Black and white (chess pieces)', 'Grey (stone chess board)', 'White (paper)', 'Graphite grey (sketch)'],)","('Observational sketch/Still life drawing with emphasis on line art and hatching technique',)","('A chess rook piece drawn from observation of a life-sized chess set, showcasing dimensional drawing and shading techniques to create form and volume',)","['chess', 'rook', 'sketch', 'drawing', 'outdoor chess', 'game', 'pencil art', 'observation drawing', 'still life', 'hatching', 'board game', 'street chess', 'sketchbook']",Bsky,,340.0,453.0
2025-01-08,Office fruit bowl #scribble,bafkreidt47phj6q3vqo7ip3jmcatdpzn3jxa2bsun27mwe6hv6g4jhlogu.jpg,"('A black and white sketch of bananas on a plate, rendered with quick, expressive brush strokes. The drawing shows three bananas clustered together, with hatching and line work to create depth and form.',)","(['Black', 'White', 'Grey (through varying ink density)'],)","(['Gestural sketch', 'Loose illustration', 'Quick study', 'Ink wash drawing', 'Monochromatic'],)","('Three ripe bananas arranged on what appears to be a round plate or dish, drawn from a slightly elevated angle',)","['bananas', 'fruit', 'still life', 'sketch', 'ink drawing', 'monochrome', 'food illustration', 'brush drawing', 'kitchen art', 'botanical', 'quick sketch', 'produce', 'study']",Bsky,,340.0,255.0
2025-01-07,Starting to frame some old #scribbles,bafkreicaxng7rciambfh73mnrvjg66jp7wxw2ra55qnkpsgavtcqjtcgay.jpg,"(""A portrait painting showing a profile view of a person with short yellow-blonde hair wearing glasses against a warm terracotta background. The artwork appears to be executed in a simple, expressive style with minimalist details. The subject is wearing what appears to be a light-colored top, and there's a small purple detail near the ear that could be an earring."",)","(['Terracotta/Burnt orange (background)', 'Yellow/ochre (hair)', 'Pale yellow/cream (skin tones)', 'Purple (small detail/earring)', 'Brown (glasses)', 'White (frame)'],)","(['Contemporary portrait', 'Minimalist', 'Watercolor painting', 'Expressive', 'Profile portrait'],)","('A side-view portrait showing the profile of someone wearing glasses, depicted in a minimalist style with simple color blocking and minimal detail work',)","['portrait', 'profile', 'watercolor', 'glasses', 'minimalist', 'contemporary art', 'terracotta', 'blonde', 'side view', 'framed artwork', 'earring', 'modern portrait']",Bsky,,340.0,469.0
2025-01-07,Morning tram #scribbles with my new fude pen,bafkreiarifdfezdzscs465pttrxcp6hxfbmxzc3qsoacvoj2ui7szkhanu.jpg,"('A sketchbook spread showing two quick figure studies. On the left page is a person sitting on what appears to be a bench or seat, hunched over in a contemplative pose. On the right page is a standing figure wearing a hat, shown in profile view looking at or holding something in their hand.',)","(['Black/grey ink', 'White paper', 'Red (bookmark detail)'],)","(['Quick gestural sketches', 'Urban sketching', 'Loose line drawing', 'Minimalist', 'Observational drawing'],)","('Urban life studies capturing everyday moments - one figure seated in repose and another standing figure, possibly looking at a mobile phone or device',)","['sketch', 'figure drawing', 'urban sketching', 'gestural', 'line drawing', 'people watching', 'daily life', 'minimalist', 'observational', 'sketchbook', 'pen drawing', 'quick study']",Bsky,,340.0,255.0
2025-01-03,Tasting some wine and painting some postcards #scribble,bafkreidmbjltf2nxbsgigcchdlezt7mlmk27cexlxkgbrewgqeoiuisgoq.jpg,"A watercolor sketch of a large institutional building with distinctive arched windows and a tower, set behind green foliage. In the foreground, there's a figure wearing yellow sitting by what appears to be a stone wall or barrier, sketching or writing.","['Pink/salmon (building trim)', 'Grey (building walls)', 'Green (foliage)', ""Yellow (figure's clothing)"", 'Blue (sky)', 'Brown (wooden surface visible in photo)']","['Urban sketching', 'Plein air watercolor', 'Quick loose sketch', 'Architectural illustration', 'Travel journal style']","An architectural study of what appears to be a historic or institutional building, possibly a church, school, or civic building, with an artist or sketcher included in the scene for scale and human interest","['watercolor', 'architecture', 'urban sketching', 'arched windows', 'tower', 'institutional building', 'plein air', 'landscape', 'artist sketch', 'foliage', 'stone wall', 'travel journal', 'architectural detail']",Bsky,,340.0,255.0
2024-12-31,hefeweizen! #scribble,bafkreig5j2vebtrqlkqrdlzsefmjkmlpbnuh62ya5wctgbyzfdq2sw4lwi.jpg,"('A watercolor painting of a rustic stone building entrance with a wooden door and decorative wooden railings. The building features a circular green sign or window at the top, and what appears to be a name or text in green above the door. There are small plants or shrubs in planters along the railing, and foliage visible on the sides of the composition.',)","(['Beige/Tan (stone walls)', 'Brown (wooden door and railings)', 'Green (plants and signage)', 'Blue (sky)', 'Purple/Mauve (ground)', 'Yellow (subtle tones in stonework)'],)","('Casual watercolor sketch/Urban sketching style with loose, informal brushwork and architectural focus',)","('A quaint building entrance with stone walls, featuring rustic architectural elements like wooden cross-braced railings and a wooden door, possibly a shop or restaurant entrance',)","['watercolor', 'architecture', 'rustic', 'stone building', 'wooden door', 'garden', 'entrance', 'cottage', 'urban sketch', 'planter boxes', 'cross-braced railing', 'building facade']",Bsky,,340.0,255.0
2024-12-30,Breakfast in Hanhdorf #scribble,bafkreic275kgovi3vqn3c7xp6kqxv5rrxxncdje7nvoynlqlxe6f73qnmy.jpg,"(""A watercolor sketch of a charming house exterior with stone or brick walls in warm orange tones. The scene features a large tree with green foliage on the left, two windows with dark frames, and a small figure standing near the entrance. There's a planter or bench visible in the foreground. The sketch is held down with black binder clips and appears to be in a sketchbook."",)","(['Green (foliage)', 'Brown (tree trunk)', 'Orange/Yellow (walls)', 'Grey/Purple (shadows)', 'White (paper)', 'Black (ink lines)'],)","('Urban sketching/Plein air watercolor, loose and impressionistic with ink line work',)","('Architectural sketch of a residential building exterior with natural elements',)","['Urban sketch', 'Watercolor', 'Architecture', 'House', 'Tree', 'Windows', 'Stone wall', 'Plein air', 'Garden', 'Streetscape', 'Building exterior', 'Nature', 'Quick sketch', 'Loose style', 'Mixed media']",Bsky,,340.0,453.0
2024-12-17,Couple more quick portrait #scribble,bafkreid5a5reckocx2qcniwerhdp4dwydfjpxt7t3ffautvykcvtl6yzzy.jpg,"A quick, gestural sketch on a spiral-bound sketchbook showing a portrait in profile view. The subject is wearing a hat with what appears to be some kind of decoration or bow. The drawing uses loose, confident line work to capture the essential features and form.","['Black (line work)', 'Light gray (paper)', 'Warm wood tone (visible desk surface)']","['Gestural sketch', 'Line drawing', 'Quick study', 'Minimalist', 'Contemporary sketch']","['Portrait sketch showing three-quarter view', 'Figure wearing a decorated hat', 'Casual contemporary portrait']","['sketch', 'portrait', 'hat', 'line drawing', 'gestural', 'minimal', 'contemporary', 'profile', 'sketchbook', 'study', 'quick drawing', 'artistic practice']",Bsky,,340.0,453.0
2024-12-17,Couple more quick portrait #scribble,bafkreiemva6yjipucqyw6mmmhfmn4kayggsk4q3lflic3ebawsb4onneii.jpg,"A loose, gestural sketch portrait done in a quick, sketchy line drawing style. The drawing features a subject wearing glasses and depicts the head and partial shoulder area. The lines are energetic and spontaneous, creating a dynamic sense of movement.","['Black', 'Grey (paper)', 'Beige/cream (paper tone)']","['Gestural drawing', 'Loose sketch', 'Continuous line drawing', 'Contemporary portrait', 'Quick study']","A portrait sketch showing the head and partial shoulders of a figure wearing rectangular glasses, rendered in an expressive line drawing style with minimal detail but capturing essential features","['sketch', 'portrait', 'line drawing', 'glasses', 'gestural', 'pen drawing', 'expressive', 'minimal', 'contemporary', 'monochrome', 'quick sketch', 'artistic study']",Bsky,,340.0,453.0
2024-12-07,Lovely sunny day in Geelong #scribble,bafkreiduwnov34bdc3xg52wcjzdn2ooqkh4mkeace7putoxomvdobz4rpi.jpg,"A watercolor sketch of a tropical or colonial-style building with a terracotta-colored exterior. The building features a second-floor balcony, stairs, and is surrounded by palm trees. The scene appears to have outdoor seating or a café area on the ground level. The sketch is done in a loose, casual style with quick brush strokes and minimal detail.","['Terracotta/salmon pink', 'Green (for foliage)', 'Purple/grey (for shadows)', 'Brown (for palm trunk)', 'White (paper)', 'Black (ink lines)']","['Urban sketching', 'Plein air', 'Quick watercolor sketch', 'Architectural illustration', 'Loose gestural style']","A tropical or colonial architecture building with palm trees, likely a restaurant, café, or commercial establishment with outdoor seating area","['urban sketch', 'watercolor', 'architecture', 'tropical', 'palm trees', 'café', 'building', 'terracotta', 'outdoor seating', 'colonial style', 'plein air', 'quick sketch', 'restaurant', 'balcony', 'stairs']",Bsky,,340.0,255.0
2024-11-27,Waiting for coffee #scribble,bafkreia4ssm6lbrlpxoedsh5hmbyqkvbv66wbgptj2r4ymh3itvhkoxf6y.jpg,"A quick sketch showing four figures from behind, standing in a line. Each figure is drawn with minimal, loose lines, and three of them are wearing backpacks. The figures appear to be in casual stance, possibly waiting or standing in a queue.","['Black (ink)', 'White/Cream (paper)', 'Grey (shadows)']","['Gestural sketch', 'Line drawing', 'Minimalist', 'Quick observational drawing', 'Urban sketching']","A group of people viewed from behind, possibly students or commuters given the backpacks, drawn in a candid, observational style capturing a moment of everyday life","['sketch', 'line drawing', 'backpacks', 'queue', 'standing figures', 'observational drawing', 'minimal art', 'urban sketch', 'gesture drawing', 'people from behind', 'group sketch', 'daily life', 'student life']",Bsky,,340.0,453.0
2024-11-22,Home again #scribble,bafkreidom5jvw4ypacxefa2aewm6y5p6bslim76cvylm7cd554lxt6whta.jpg,"A loose, gestural watercolor and ink sketch showing a figure wearing rectangular glasses, rendered in quick brushstrokes with a minimalist approach. The sketch captures a casual, contemplative pose with soft purple and pink tones.","['Purple/indigo', 'Soft pink/coral', 'White (paper)', 'Grey (from ink lines)', 'Subtle blue tones']","['Loose gestural sketch', 'Quick study', 'Contemporary illustration', 'Urban sketching', 'Minimalist watercolor']","A casual portrait sketch of a figure in a relaxed pose, wearing glasses and what appears to be casual clothing, captured in a spontaneous, sketch-like style","['watercolor sketch', 'portrait', 'gestural drawing', 'loose style', 'contemporary art', 'quick study', 'minimal', 'glasses', 'casual pose', 'ink and wash', 'figure drawing']",Bsky,,340.0,255.0
2024-08-03,Last day in Ho Chi Minh,240803_flicking-through-my_0.jpg,"A sketched interior scene showing a bar or counter with stools, featuring architectural elements like posts and what appears to be a window or partition. The drawing shows depth through cross-hatching and includes foliage or tree elements visible through the window.","['Black', 'White', 'Grey (through hatching techniques)']","['Quick sketch', 'Urban sketching', 'Architectural drawing', 'Pen and ink illustration', 'Freehand drawing']","An interior architectural space, likely a café or restaurant setting, captured in a loose sketching style with emphasis on structural elements and spatial relationships","['interior sketch', 'architectural drawing', 'urban sketching', 'café scene', 'cross-hatching', 'pen drawing', 'counter seating', 'restaurant interior', 'black and white', 'quick sketch', 'perspective drawing', 'structural elements']",Blog,,340.0,255.0
2024-07-27,On a river cruise,240727_we-went-on_0.jpg,"A sketch of what appears to be a café or restaurant interior. The drawing shows a figure wearing glasses in the foreground, with tables and chairs in the background. There are shelves with bottles or items lined up along the back wall, suggesting a bar or service area. The sketch has a loose, quick style with gestural line work.","['Black', 'White', 'Grey (through line density)', 'Paper beige/off-white']","['Urban sketching', 'Quick observational drawing', 'Line drawing', 'Gestural sketch', 'Informal drawing']","An interior scene of what appears to be a café or restaurant, featuring casual seating arrangements and a service area with shelving. The perspective is from a customer's viewpoint looking into the establishment.","['café sketch', 'restaurant interior', 'urban sketching', 'line drawing', 'interior scene', 'observational art', 'black and white', 'casual drawing', 'architectural sketch', 'perspective drawing', 'café life', 'daily sketch']",Blog,,340.0,255.0
